,altitude,distance,enhanced_altitude,enhanced_speed,heart_rate,position_lat,position_long,speed,timestamp,unknown_88,time_elapsed,time_interval,speed_mph,difference_in_speed_mph,speed_kmh,difference_in_speed_kmh,speed_meters_sec,speed_feet_sec,pace_min_mile,pace_min_km,distance_total_miles,distance_total_km,distance_interval_miles,distance_interval_km,elevation_meters,elevation_feet,rise_meters,rise_feet,run_meters,run_feet,gradient_%,hr_%
0,34.0,0.15,34.0,1.204,101.0,445911255.0,-1456516886.0,1.204,2020-06-18 13:53:33,300.0,,,2.6932713818181817,,4.3344,,1.204,3.95013136,22.277740150899692,13.842746400885938,9.320567883560009e-05,0.00015,,,34.0,111.54856,,,,,,52.0618556701031
1,33.6,0.94,33.6,1.288,102.0,445911350.0,-1456516831.0,1.288,2020-06-18 13:53:34,300.0,0 days 00:00:01.000000000,0 days 00:00:01.000000000,2.8811740363636362,0.18790265454545452,4.6368,0.30240000000000045,1.288,4.22572192,20.824844054101884,12.939958592132506,0.0005840889207030939,0.00094,0.0004908832575757576,0.0007899999999999999,33.6,110.236224,-0.3999999999999986,-1.3123359999999953,0.7899999999999999,2.5918636,-50.63291139240488,52.57731958762887
2,33.6,7.58,33.6,2.585,105.0,445911958.0,-1456516323.0,2.585,2020-06-18 13:53:37,300.0,0 days 00:00:04.000000000,0 days 00:00:03.000000000,5.7824805,2.901306463636364,9.306,4.669199999999999,2.585,8.4809714,10.37616988072852,6.447453255963895,0.004709993637158991,0.00758,0.004125904848484849,0.006640000000000001,33.6,110.236224,0.0,0.0,6.640000000000001,21.7847776,0.0,54.123711340206185
3,32.2,14.88,32.2,3.826,110.0,445912441.0,-1456515534.0,3.826,2020-06-18 13:53:39,300.0,0 days 00:00:06.000000000,0 days 00:00:02.000000000,8.558518527272728,2.776038027272728,13.7736,4.467600000000001,3.826,12.55249384,7.010559106555992,4.356159609688099,0.00924600334049153,0.01488,0.004536009848484849,0.007300000000000001,32.2,105.64304800000001,-1.3999999999999986,-4.593175999999995,7.300000000000001,23.950132000000004,-19.1780821917808,56.70103092783505
4,32.0,23.38,32.0,4.04,113.0,445912594.0,-1456514411.0,4.04,2020-06-18 13:53:41,300.0,0 days 00:00:08.000000000,0 days 00:00:02.000000000,9.037222909090909,0.4787043818181811,14.544,0.7704000000000004,4.04,13.2545936,6.639207708337432,4.125412541254125,0.014527658474508867,0.023379999999999998,0.005281655303030302,0.008499999999999999,32.0,104.98688,-0.20000000000000284,-0.6561680000000093,8.499999999999998,27.887139999999995,-2.352941176470622,58.24742268041238
5,31.6,36.61,31.6,4.245,117.0,445911977.0,-1456512856.0,4.245,2020-06-18 13:53:44,300.0,0 days 00:00:11.000000000,0 days 00:00:03.000000000,9.495794863636364,0.4585719545454552,15.282,0.7379999999999995,4.245,13.927165800000001,6.318586370243398,3.9261876717707107,0.022748399347808795,0.03661,0.008220741136363636,0.01323,31.6,103.674544,-0.3999999999999986,-1.3123359999999953,13.23,43.4055132,-3.0234315948601553,60.30927835051546
6,31.6,41.64,31.6,4.936,119.0,445911546.0,-1456512447.0,4.936,2020-06-18 13:53:45,300.0,0 days 00:00:12.000000000,0 days 00:00:01.000000000,11.041517890909091,1.545723027272727,17.769599999999997,2.487599999999997,4.936,16.19422624,5.434035482512809,3.376553214478661,0.025873896444762585,0.04164,0.0031254971969696976,0.0050300000000000015,31.6,103.674544,0.0,0.0,5.030000000000001,16.502625200000004,0.0,61.34020618556701
7,31.6,52.43,31.6,5.188,123.0,445910557.0,-1456511688.0,5.188,2020-06-18 13:53:47,300.0,0 days 00:00:14.000000000,0 days 00:00:02.000000000,11.605225854545454,0.5637079636363627,18.6768,0.9072000000000031,5.188,17.02099792,5.170084645659836,3.2125417630429194,0.03257849160900342,0.05243,0.006704595378787878,0.01079,31.6,103.674544,0.0,0.0,10.79,35.400263599999995,0.0,63.4020618556701
8,31.6,63.24,31.6,5.169,126.0,445909520.0,-1456511029.0,5.169,2020-06-18 13:53:49,300.0,0 days 00:00:16.000000000,0 days 00:00:02.000000000,11.562724063636361,-0.04250179090909256,18.608399999999996,-0.06840000000000401,5.169,16.958661959999997,5.1890886325562455,3.224350293415877,0.039295514197089,0.06324,0.006717022803030305,0.010810000000000002,31.6,103.674544,0.0,0.0,10.810000000000002,35.46588040000001,0.0,64.94845360824742
9,29.4,127.54,29.4,5.169,129.0,445903508.0,-1456506759.0,5.169,2020-06-18 13:54:01,300.0,0 days 00:00:28.000000000,0 days 00:00:12.000000000,11.562724063636361,0.0,18.608399999999996,0.0,5.169,16.958661959999997,5.1890886325562455,3.224350293415877,0.07924968185794957,0.12754000000000001,0.03995416893939394,0.06430000000000001,29.4,96.456696,-2.200000000000003,-7.217848000000009,64.30000000000001,210.95801200000002,-3.421461897356147,66.49484536082474
